Polygenic Score (PGS) ID,Stage of PGS Development,Number of Individuals,Number of Cases,Number of Controls,Percent of Participants Who are Male,Sample Age,Broad Ancestry Category,"Ancestry (e.g. French, Chinese)",Country of Recruitment,Additional Ancestry Description,Phenotype Definitions and Methods,Followup Time,GWAS Catalog Study ID (GCST...),Source PubMed ID (PMID),Source DOI,Cohort(s),Additional Sample/Cohort Information
PGS004131,Source of Variant Associations (GWAS),33671.0,,,,,African American or Afro-Caribbean,,U.S.,,Urate,,GCST008972,31578528,,,
PGS004131,Source of Variant Associations (GWAS),9037.0,,,,,South Asian,,,,Urate,,GCST008972,31578528,,,
PGS004131,Source of Variant Associations (GWAS),608.0,,,,,Hispanic or Latin American,,,,Urate,,GCST008972,31578528,,,
PGS004131,Score Development/Training,343904.0,,,,,European,,,,data field 30880,,,,,UKB,
PGS004132,Source of Variant Associations (GWAS),53130.0,,,,,European,,"Denmark, Finland, U.K., U.S.",,Type 1 Diabetes,,GCST90013445,34127860,,,
PGS004132,Source of Variant Associations (GWAS),2148.0,,,,,Other admixed ancestry,,"U.K., U.S.",,Type 1 Diabetes,,GCST90013445,34127860,,,
PGS004132,Source of Variant Associations (GWAS),4249.0,,,,,African unspecified,,"U.K., U.S.",,Type 1 Diabetes,,GCST90013445,34127860,,,
PGS004132,Score Development/Training,804.0,,,,,European,,,,,,,,,UKB,
PGS004133,Source of Variant Associations (GWAS),58284.0,,,,,European,,,,Rheumatoid arthritis,,GCST90013534,33310728,,,
PGS004133,Source of Variant Associations (GWAS),253008.0,,,,,East Asian,,,,Rheumatoid arthritis,,GCST90013534,33310728,,,
PGS004133,Score Development/Training,820.0,,,,,European,,,,,,,,,UKB,
PGS004134,Source of Variant Associations (GWAS),236781.0,,,,,European,,,,BMI,,GCST002783,25673413,,,
PGS004134,Source of Variant Associations (GWAS),887.0,,,,,African American or Afro-Caribbean,,U.S.,,BMI,,GCST002783,25673413,,,
PGS004134,Source of Variant Associations (GWAS),1276.0,,,,,Hispanic or Latin American,,,,BMI,,GCST002783,25673413,,,
PGS004134,Score Development/Training,359913.0,,,,,European,,,,data field 21001,,,,,UKB,
PGS004135,Source of Variant Associations (GWAS),59957.0,,,,,"NR, European",,U.K.,,Inflammatory bowel disease,,GCST004131,28067908,,,
PGS004135,Score Development/Training,5340.0,,,,,European,,,,,,,,,UKB,
PGS004136,Source of Variant Associations (GWAS),159208.0,,,,,European,,"U.S., France, Germany, Netherlands, Estonia, Finland, Sweden, U.K.",,Type 2 Diabetes,,GCST004773,28566273,,,
PGS004136,Score Development/Training,23748.0,,,,,European,,,,,,,,,UKB,
PGS004137,Source of Variant Associations (GWAS),139274.0,,,,,European,,"Canada, U.S., Australia, Belgium, France, Germany, Netherlands, Israel, Belarus, Poland, Russian Federation, Denmark, Finland, Norway, Sweden, U.K., Greece, Italy, Spain, The former Yugoslav Republic of Macedonia",,Breast cancer,,GCST004988,29059683,,,
PGS004137,Score Development/Training,12483.0,,,0.0,,European,,,,,,,,,UKB,
PGS004138,Source of Variant Associations (GWAS),446696.0,,,,,European,,"Canada, U.S., Australia, Austria, Belgium, France, Germany, Netherlands, Switzerland, Poland, Denmark, Finland, Iceland, Sweden, U.K., Italy, Spain",,Stroke,,GCST005838,29531354,,,
PGS004138,Source of Variant Associations (GWAS),45564.0,,,,,East Asian,,Japan,,Stroke,,GCST005838,29531354,,,
PGS004138,Source of Variant Associations (GWAS),9144.0,,,,,South Asian,,"India, Pakistan",,Stroke,,GCST005838,29531354,,,
PGS004138,Source of Variant Associations (GWAS),20695.0,,,,,African American or Afro-Caribbean,,"Canada, U.S., U.K.",,Stroke,,GCST005838,29531354,,,
PGS004138,Source of Variant Associations (GWAS),698.0,,,,,Asian unspecified,,,,Stroke,,GCST005838,29531354,,,
PGS004138,Source of Variant Associations (GWAS),1557.0,,,,,Hispanic or Latin American,,U.S.,,Stroke,,GCST005838,29531354,,,
PGS004138,Score Development/Training,8142.0,,,,,European,,,,,,,,,UKB,
PGS004139,Source of Variant Associations (GWAS),140254.0,,,,,European,,"Canada, U.S., Australia, Belgium, France, Germany, Netherlands, Japan, Bulgaria, Poland, Denmark, Finland, Norway, Sweden, U.K., Portugal, Spain",,Prostate cancer,,GCST006085,29892016,,,
PGS004139,Score Development/Training,9671.0,,,100.0,,European,,,,,,,,,UKB,
PGS004140,Source of Variant Associations (GWAS),76627.0,,,,,European,,,,HDL,,GCST007140,29507422,,,
PGS004140,Source of Variant Associations (GWAS),7795.0,,,,,Hispanic or Latin American,,,,HDL,,GCST007140,29507422,,,
PGS004140,Source of Variant Associations (GWAS),2958.0,,,,,African American or Afro-Caribbean,,,,HDL,,GCST007140,29507422,,,
PGS004140,Source of Variant Associations (GWAS),439.0,,,,,South Asian,,,,HDL,,GCST007140,29507422,,,
PGS004140,Score Development/Training,315135.0,,,,,European,,,,,,,,,UKB,
PGS004141,Source of Variant Associations (GWAS),88355.0,,,,,European,,"U.S., France, Germany, Netherlands, Finland, Iceland, Sweden, U.K., Croatia, Italy, Spain",,HbA1C,,GCST007954,28898252,,,
PGS004141,Score Development/Training,344209.0,,,,,European,,,,data field 30750,,,,,UKB,
PGS004142,Score Development/Training,13496.0,,,,,European,,,,,,,,,UKB,
PGS004143,Source of Variant Associations (GWAS),567460.0,,,,,European,,,,eGFR,,GCST008059,31152163,,,
PGS004143,Score Development/Training,344140.0,,,,,European,,,,,,,,,UKB,
PGS004144,Score Development/Training,6704.0,,,,,European,,,,,,,,,UKB,
PGS004145,Source of Variant Associations (GWAS),288649.0,,,,,European,,U.S.,,Urate,,GCST008972,31578528,,,
PGS004145,Source of Variant Associations (GWAS),125725.0,,,,,East Asian,,,,Urate,,GCST008972,31578528,,,
PGS004145,Source of Variant Associations (GWAS),33671.0,,,,,African American or Afro-Caribbean,,U.S.,,Urate,,GCST008972,31578528,,,
PGS004145,Source of Variant Associations (GWAS),9037.0,,,,,South Asian,,,,Urate,,GCST008972,31578528,,,
PGS004145,Source of Variant Associations (GWAS),608.0,,,,,Hispanic or Latin American,,,,Urate,,GCST008972,31578528,,,
PGS004145,Score Development/Training,343904.0,,,,,European,,,,data field 30880,,,,,UKB,
PGS004146,Source of Variant Associations (GWAS),472868.0,,,,,European,,"Greece, Canada, U.S., U.K., France, Germany",,Alzheimers disease,,GCST90012877,33589840,,,
PGS004147,Source of Variant Associations (GWAS),53130.0,,,,,European,,"Denmark, Finland, U.K., U.S.",,Type 1 Diabetes,,GCST90013445,34127860,,,
PGS004147,Source of Variant Associations (GWAS),2148.0,,,,,Other admixed ancestry,,"U.K., U.S.",,Type 1 Diabetes,,GCST90013445,34127860,,,
PGS004147,Source of Variant Associations (GWAS),4249.0,,,,,African unspecified,,"U.K., U.S.",,Type 1 Diabetes,,GCST90013445,34127860,,,
PGS004147,Score Development/Training,804.0,,,,,European,,,,,,,,,UKB,
PGS004148,Source of Variant Associations (GWAS),58284.0,,,,,European,,,,Rheumatoid arthritis,,GCST90013534,33310728,,,
PGS004148,Source of Variant Associations (GWAS),253008.0,,,,,East Asian,,,,Rheumatoid arthritis,,GCST90013534,33310728,,,
PGS004148,Score Development/Training,820.0,,,,,European,,,,,,,,,UKB,
PGS004149,Source of Variant Associations (GWAS),360388.0,,,,,European,,U.K.,,Height,,GCST90018959,34594039,,,
PGS004149,Source of Variant Associations (GWAS),165056.0,,,,,East Asian,,Japan,,Height,,GCST90018959,34594039,,,
PGS004150,Source of Variant Associations (GWAS),236781.0,,,,,European,,,,BMI,,GCST002783,25673413,,,
PGS004150,Source of Variant Associations (GWAS),887.0,,,,,African American or Afro-Caribbean,,U.S.,,BMI,,GCST002783,25673413,,,
PGS004150,Source of Variant Associations (GWAS),1276.0,,,,,Hispanic or Latin American,,,,BMI,,GCST002783,25673413,,,
PGS004150,Score Development/Training,359913.0,,,,,European,,,,data field 21001,,,,,UKB,
PGS004151,Source of Variant Associations (GWAS),59957.0,,,,,"NR, European",,U.K.,,Inflammatory bowel disease,,GCST004131,28067908,,,
PGS004151,Score Development/Training,5340.0,,,,,European,,,,,,,,,UKB,
PGS004152,Source of Variant Associations (GWAS),159208.0,,,,,European,,"U.S., France, Germany, Netherlands, Estonia, Finland, Sweden, U.K.",,Type 2 Diabetes,,GCST004773,28566273,,,
PGS004152,Score Development/Training,23748.0,,,,,European,,,,,,,,,UKB,
PGS004153,Source of Variant Associations (GWAS),139274.0,,,,,European,,"Canada, U.S., Australia, Belgium, France, Germany, Netherlands, Israel, Belarus, Poland, Russian Federation, Denmark, Finland, Norway, Sweden, U.K., Greece, Italy, Spain, The former Yugoslav Republic of Macedonia",,Breast cancer,,GCST004988,29059683,,,
PGS004153,Score Development/Training,12483.0,,,0.0,,European,,,,,,,,,UKB,
PGS004154,Source of Variant Associations (GWAS),446696.0,,,,,European,,"Canada, U.S., Australia, Austria, Belgium, France, Germany, Netherlands, Switzerland, Poland, Denmark, Finland, Iceland, Sweden, U.K., Italy, Spain",,Stroke,,GCST005838,29531354,,,
PGS004154,Source of Variant Associations (GWAS),45564.0,,,,,East Asian,,Japan,,Stroke,,GCST005838,29531354,,,
PGS004154,Source of Variant Associations (GWAS),9144.0,,,,,South Asian,,"India, Pakistan",,Stroke,,GCST005838,29531354,,,
PGS004154,Source of Variant Associations (GWAS),20695.0,,,,,African American or Afro-Caribbean,,"Canada, U.S., U.K.",,Stroke,,GCST005838,29531354,,,
PGS004154,Source of Variant Associations (GWAS),698.0,,,,,Asian unspecified,,,,Stroke,,GCST005838,29531354,,,
PGS004154,Source of Variant Associations (GWAS),1557.0,,,,,Hispanic or Latin American,,U.S.,,Stroke,,GCST005838,29531354,,,
PGS004154,Score Development/Training,8142.0,,,,,European,,,,,,,,,UKB,
PGS004155,Source of Variant Associations (GWAS),140254.0,,,,,European,,"Canada, U.S., Australia, Belgium, France, Germany, Netherlands, Japan, Bulgaria, Poland, Denmark, Finland, Norway, Sweden, U.K., Portugal, Spain",,Prostate cancer,,GCST006085,29892016,,,
PGS004155,Score Development/Training,9671.0,,,100.0,,European,,,,,,,,,UKB,
PGS004156,Source of Variant Associations (GWAS),76627.0,,,,,European,,,,HDL,,GCST007140,29507422,,,
PGS004156,Source of Variant Associations (GWAS),7795.0,,,,,Hispanic or Latin American,,,,HDL,,GCST007140,29507422,,,
PGS004156,Source of Variant Associations (GWAS),2958.0,,,,,African American or Afro-Caribbean,,,,HDL,,GCST007140,29507422,,,
PGS004156,Source of Variant Associations (GWAS),439.0,,,,,South Asian,,,,HDL,,GCST007140,29507422,,,
PGS004156,Score Development/Training,315135.0,,,,,European,,,,,,,,,UKB,
PGS004157,Source of Variant Associations (GWAS),88355.0,,,,,European,,"U.S., France, Germany, Netherlands, Finland, Iceland, Sweden, U.K., Croatia, Italy, Spain",,HbA1C,,GCST007954,28898252,,,
PGS004157,Score Development/Training,344209.0,,,,,European,,,,data field 30750,,,,,UKB,
PGS004158,Score Development/Training,13496.0,,,,,European,,,,,,,,,UKB,
PGS004159,Source of Variant Associations (GWAS),567460.0,,,,,European,,,,eGFR,,GCST008059,31152163,,,
PGS004159,Score Development/Training,344140.0,,,,,European,,,,,,,,,UKB,
PGS004160,Score Development/Training,6704.0,,,,,European,,,,,,,,,UKB,
PGS004161,Source of Variant Associations (GWAS),288649.0,,,,,European,,U.S.,,Urate,,GCST008972,31578528,,,
PGS004161,Source of Variant Associations (GWAS),125725.0,,,,,East Asian,,,,Urate,,GCST008972,31578528,,,
PGS004161,Source of Variant Associations (GWAS),33671.0,,,,,African American or Afro-Caribbean,,U.S.,,Urate,,GCST008972,31578528,,,
PGS004161,Source of Variant Associations (GWAS),9037.0,,,,,South Asian,,,,Urate,,GCST008972,31578528,,,
PGS004161,Source of Variant Associations (GWAS),608.0,,,,,Hispanic or Latin American,,,,Urate,,GCST008972,31578528,,,
PGS004161,Score Development/Training,343904.0,,,,,European,,,,data field 30880,,,,,UKB,
PGS004162,Source of Variant Associations (GWAS),53130.0,,,,,European,,"Denmark, Finland, U.K., U.S.",,Type 1 Diabetes,,GCST90013445,34127860,,,
PGS004162,Source of Variant Associations (GWAS),2148.0,,,,,Other admixed ancestry,,"U.K., U.S.",,Type 1 Diabetes,,GCST90013445,34127860,,,
PGS004162,Source of Variant Associations (GWAS),4249.0,,,,,African unspecified,,"U.K., U.S.",,Type 1 Diabetes,,GCST90013445,34127860,,,
PGS004162,Score Development/Training,804.0,,,,,European,,,,,,,,,UKB,
PGS004163,Source of Variant Associations (GWAS),58284.0,,,,,European,,,,Rheumatoid arthritis,,GCST90013534,33310728,,,
PGS004163,Source of Variant Associations (GWAS),253008.0,,,,,East Asian,,,,Rheumatoid arthritis,,GCST90013534,33310728,,,
PGS004163,Score Development/Training,820.0,,,,,European,,,,,,,,,UKB,
PGS004164,Source of Variant Associations (GWAS),16870.0,,,,,East Asian,,China,,,,GCST90277434,37846649,,,
PGS004165,Source of Variant Associations (GWAS),16870.0,,,,,East Asian,,China,,,,GCST90277434,37846649,,,
PGS004165,Source of Variant Associations (GWAS),22090.0,,,,,East Asian,,China,,,,GCST008836,31326317,,,
PGS004165,Source of Variant Associations (GWAS),20846.0,,,,,European,,,,,,GCST008836,31326317,,,
PGS004166,Score Development/Training,200000.0,16408.0,183592.0,0.0,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: cancer codes: 1002; ICD9: 174, 1749; ICD10: C50, C500-C506, C508, C509; field ID 40001: C50, C500-C506, C508, C509; field ID40002: C50, C500-C506, C508, C509; field ID 40006: C50, C500-C506, C508, C509; field ID 40013: 174, 1749",,,,,,
PGS004167,Score Development/Training,200000.0,16408.0,183592.0,0.0,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: cancer codes: 1002; ICD9: 174, 1749; ICD10: C50, C500-C506, C508, C509; field ID 40001: C50, C500-C506, C508, C509; field ID40002: C50, C500-C506, C508, C509; field ID 40006: C50, C500-C506, C508, C509; field ID 40013: 174, 1749",,,,,,
PGS004168,Score Development/Training,200000.0,16408.0,183592.0,0.0,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: cancer codes: 1002; ICD9: 174, 1749; ICD10: C50, C500-C506, C508, C509; field ID 40001: C50, C500-C506, C508, C509; field ID40002: C50, C500-C506, C508, C509; field ID 40006: C50, C500-C506, C508, C509; field ID 40013: 174, 1749",,,,,,
PGS004169,Score Development/Training,200000.0,16408.0,183592.0,0.0,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: cancer codes: 1002; ICD9: 174, 1749; ICD10: C50, C500-C506, C508, C509; field ID 40001: C50, C500-C506, C508, C509; field ID40002: C50, C500-C506, C508, C509; field ID 40006: C50, C500-C506, C508, C509; field ID 40013: 174, 1749",,,,,,
PGS004170,Score Development/Training,200000.0,16408.0,183592.0,0.0,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: cancer codes: 1002; ICD9: 174, 1749; ICD10: C50, C500-C506, C508, C509; field ID 40001: C50, C500-C506, C508, C509; field ID40002: C50, C500-C506, C508, C509; field ID 40006: C50, C500-C506, C508, C509; field ID 40013: 174, 1749",,,,,,
PGS004171,Score Development/Training,200000.0,2629.0,197371.0,46.3,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1222; ICD10: E100-E109, 0240",,,,,,
PGS004172,Score Development/Training,200000.0,2629.0,197371.0,46.3,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1222; ICD10: E100-E109, 0240",,,,,,
PGS004173,Score Development/Training,200000.0,2629.0,197371.0,46.3,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1222; ICD10: E100-E109, 0240",,,,,,
PGS004174,Score Development/Training,200000.0,2629.0,197371.0,46.3,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1222; ICD10: E100-E109, 0240",,,,,,
PGS004175,Score Development/Training,200000.0,2629.0,197371.0,46.3,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1222; ICD10: E100-E109, 0240",,,,,,
PGS004176,Score Development/Training,200000.0,48612.0,151388.0,45.7,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1111; ICD9: 49300, 49309 ,49310 ,49319 ,49390 ,49399; ICD10: J450,J451,J458",,,,,,
PGS004177,Score Development/Training,200000.0,48612.0,151388.0,45.7,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1111; ICD9: 49300, 49309 ,49310 ,49319 ,49390 ,49399; ICD10: J450,J451,J458",,,,,,
PGS004178,Score Development/Training,200000.0,48612.0,151388.0,45.7,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1111; ICD9: 49300, 49309 ,49310 ,49319 ,49390 ,49399; ICD10: J450,J451,J458",,,,,,
PGS004179,Score Development/Training,200000.0,48612.0,151388.0,45.7,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1111; ICD9: 49300, 49309 ,49310 ,49319 ,49390 ,49399; ICD10: J450,J451,J458",,,,,,
PGS004180,Score Development/Training,200000.0,48612.0,151388.0,45.7,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1111; ICD9: 49300, 49309 ,49310 ,49319 ,49390 ,49399; ICD10: J450,J451,J458",,,,,,
PGS004181,Score Development/Training,200000.0,22385.0,177615.0,47.1,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1223; ICD9: 25000, 25002, 25010, 25012, 25020, 25022, 25030, 25032, 25040, 25042, 25050, 25052, 25060, 25062, 25070, 25072, 25080, 25082, 25090, 25092; ICD10: E11,E110-E119",,,,,,
PGS004182,Score Development/Training,200000.0,22385.0,177615.0,47.1,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1223; ICD9: 25000, 25002, 25010, 25012, 25020, 25022, 25030, 25032, 25040, 25042, 25050, 25052, 25060, 25062, 25070, 25072, 25080, 25082, 25090, 25092; ICD10: E11,E110-E119",,,,,,
PGS004183,Score Development/Training,200000.0,22385.0,177615.0,47.1,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1223; ICD9: 25000, 25002, 25010, 25012, 25020, 25022, 25030, 25032, 25040, 25042, 25050, 25052, 25060, 25062, 25070, 25072, 25080, 25082, 25090, 25092; ICD10: E11,E110-E119",,,,,,
PGS004184,Score Development/Training,200000.0,22385.0,177615.0,47.1,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1223; ICD9: 25000, 25002, 25010, 25012, 25020, 25022, 25030, 25032, 25040, 25042, 25050, 25052, 25060, 25062, 25070, 25072, 25080, 25082, 25090, 25092; ICD10: E11,E110-E119",,,,,,
PGS004185,Score Development/Training,200000.0,22385.0,177615.0,47.1,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1223; ICD9: 25000, 25002, 25010, 25012, 25020, 25022, 25030, 25032, 25040, 25042, 25050, 25052, 25060, 25062, 25070, 25072, 25080, 25082, 25090, 25092; ICD10: E11,E110-E119",,,,,,
PGS004186,Score Development/Training,200000.0,19934.0,180066.0,47.0,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1471, 1483; ICD9: 4273; ICD10: I480-I484, I489",,,,,,
PGS004187,Score Development/Training,200000.0,19934.0,180066.0,47.0,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1471, 1483; ICD9: 4273; ICD10: I480-I484, I489",,,,,,
PGS004188,Score Development/Training,200000.0,19934.0,180066.0,47.0,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1471, 1483; ICD9: 4273; ICD10: I480-I484, I489",,,,,,
PGS004189,Score Development/Training,200000.0,19934.0,180066.0,47.0,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1471, 1483; ICD9: 4273; ICD10: I480-I484, I489",,,,,,
PGS004190,Score Development/Training,200000.0,19934.0,180066.0,47.0,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1471, 1483; ICD9: 4273; ICD10: I480-I484, I489",,,,,,
PGS004191,Score Development/Training,200000.0,140609.0,59391.0,50.0,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1065,1072,1073; ICD9: 4010,4011,4019,4050,4051,4059,4160,6420,6423,6429; ICD10: I10",,,,,,
PGS004192,Score Development/Training,200000.0,140609.0,59391.0,50.0,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1065,1072,1073; ICD9: 4010,4011,4019,4050,4051,4059,4160,6420,6423,6429; ICD10: I10",,,,,,
PGS004193,Score Development/Training,200000.0,140609.0,59391.0,50.0,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1065,1072,1073; ICD9: 4010,4011,4019,4050,4051,4059,4160,6420,6423,6429; ICD10: I10",,,,,,
PGS004194,Score Development/Training,200000.0,140609.0,59391.0,50.0,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1065,1072,1073; ICD9: 4010,4011,4019,4050,4051,4059,4160,6420,6423,6429; ICD10: I10",,,,,,
PGS004195,Score Development/Training,200000.0,140609.0,59391.0,50.0,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1065,1072,1073; ICD9: 4010,4011,4019,4050,4051,4059,4160,6420,6423,6429; ICD10: I10",,,,,,
PGS004196,Score Development/Training,200000.0,21091.0,178909.0,47.9,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1075; ICD9: 410, 4109, 412, 4129; ICD10: I21, I210-I214, I219, I21X, I22, I220, I221, I228, I229, I23, I230-I236, I238, I241, I252; OPCS4: K401-K404, K411-K414, K451-K455, K491, K492, K498, K499, K502, K751-K754, K758, K759",,,,,,
PGS004197,Score Development/Training,200000.0,21091.0,178909.0,47.9,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1075; ICD9: 410, 4109, 412, 4129; ICD10: I21, I210-I214, I219, I21X, I22, I220, I221, I228, I229, I23, I230-I236, I238, I241, I252; OPCS4: K401-K404, K411-K414, K451-K455, K491, K492, K498, K499, K502, K751-K754, K758, K759",,,,,,
PGS004198,Score Development/Training,200000.0,21091.0,178909.0,47.9,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1075; ICD9: 410, 4109, 412, 4129; ICD10: I21, I210-I214, I219, I21X, I22, I220, I221, I228, I229, I23, I230-I236, I238, I241, I252; OPCS4: K401-K404, K411-K414, K451-K455, K491, K492, K498, K499, K502, K751-K754, K758, K759",,,,,,
PGS004199,Score Development/Training,200000.0,21091.0,178909.0,47.9,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1075; ICD9: 410, 4109, 412, 4129; ICD10: I21, I210-I214, I219, I21X, I22, I220, I221, I228, I229, I23, I230-I236, I238, I241, I252; OPCS4: K401-K404, K411-K414, K451-K455, K491, K492, K498, K499, K502, K751-K754, K758, K759",,,,,,
PGS004200,Score Development/Training,200000.0,21091.0,178909.0,47.9,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,"UK Biobank codes: non-cancer codes: 1075; ICD9: 410, 4109, 412, 4129; ICD10: I21, I210-I214, I219, I21X, I22, I220, I221, I228, I229, I23, I230-I236, I238, I241, I252; OPCS4: K401-K404, K411-K414, K451-K455, K491, K492, K498, K499, K502, K751-K754, K758, K759",,,,,,
PGS004201,Score Development/Training,317282.0,,,45.9,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,UK Biobank codes: field ID: 30790,,,,,,
PGS004202,Score Development/Training,317282.0,,,45.9,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,UK Biobank codes: field ID: 30790,,,,,,
PGS004203,Score Development/Training,317282.0,,,45.9,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,UK Biobank codes: field ID: 30790,,,,,,
PGS004204,Score Development/Training,317282.0,,,45.9,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,UK Biobank codes: field ID: 30790,,,,,,
PGS004205,Score Development/Training,317282.0,,,45.9,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,UK Biobank codes: field ID: 30790,,,,,,
PGS004206,Score Development/Training,339447.0,,,50.4,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,UK Biobank codes: field ID: 30660,,,,,,
PGS004207,Score Development/Training,339447.0,,,50.4,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,UK Biobank codes: field ID: 30660,,,,,,
PGS004208,Score Development/Training,339447.0,,,50.4,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,UK Biobank codes: field ID: 30660,,,,,,
PGS004209,Score Development/Training,339447.0,,,50.4,{'unit': 'years'},European,,UK,used UK self report 'white' category and then used an adjusted phenotype that includes a regression on the top 20 PCs,UK Biobank codes: field ID: 30660,,,,,,
